"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2015","736.35","736.35","736.35","736.35","","0.11%"
"06/18/2015","735.56","735.56","735.56","735.56","","1.10%"
"06/17/2015","727.56","727.56","727.56","727.56","","-0.16%"
"06/16/2015","728.76","728.76","728.76","728.76","","0.69%"
"06/15/2015","723.76","723.76","723.76","723.76","","-0.30%"
"06/12/2015","725.95","725.95","725.95","725.95","","-0.16%"
"06/11/2015","727.12","727.12","727.12","727.12","","-0.02%"
"06/10/2015","727.24","727.24","727.24","727.24","","1.46%"
"06/09/2015","716.81","716.81","716.81","716.81","","-0.23%"
"06/08/2015","718.46","718.46","718.46","718.46","","-0.51%"
"06/05/2015","722.12","722.12","722.12","722.12","","0.63%"
"06/04/2015","717.58","717.58","717.58","717.58","","-0.98%"
"06/03/2015","724.65","724.65","724.65","724.65","","1.04%"
"06/02/2015","717.20","717.20","717.20","717.20","","0.27%"
"06/01/2015","715.27","715.27","715.27","715.27","","0.34%"
"05/29/2015","712.88","712.88","712.88","712.88","","-0.72%"
"05/28/2015","718.05","718.05","718.05","718.05","","0.04%"
"05/27/2015","717.78","717.78","717.78","717.78","","1.14%"
"05/26/2015","709.72","709.72","709.72","709.72","","-1.18%"
"05/22/2015","718.16","718.16","718.16","718.16","","-0.50%"
"05/21/2015","721.79","721.79","721.79","721.79","","-0.04%"
"05/20/2015","722.07","722.07","722.07","722.07","","0.07%"
"05/19/2015","721.58","721.58","721.58","721.58","","-0.06%"
"05/18/2015","722.04","722.04","722.04","722.04","","0.97%"
"05/15/2015","715.08","715.08","715.08","715.08","","-0.14%"
"05/14/2015","716.06","716.06","716.06","716.06","","1.08%"
"05/13/2015","708.41","708.41","708.41","708.41","","-0.07%"
"05/12/2015","708.93","708.93","708.93","708.93","","-0.31%"
"05/11/2015","711.12","711.12","711.12","711.12","","0.10%"
"05/08/2015","710.38","710.38","710.38","710.38","","0.59%"
"05/07/2015","706.18","706.18","706.18","706.18","","0.48%"
"05/06/2015","702.81","702.81","702.81","702.81","","0.21%"
"05/05/2015","701.32","701.32","701.32","701.32","","-1.15%"
"05/04/2015","709.46","709.46","709.46","709.46","","0.30%"
"05/01/2015","707.33","707.33","707.33","707.33","","0.62%"
"04/30/2015","702.97","702.97","702.97","702.97","","-1.92%"
"04/29/2015","716.71","716.71","716.71","716.71","","-1.06%"
"04/28/2015","724.39","724.39","724.39","724.39","","0.64%"
"04/27/2015","719.78","719.78","719.78","719.78","","-0.73%"
"04/24/2015","725.08","725.08","725.08","725.08","","-0.18%"
"04/23/2015","726.40","726.40","726.40","726.40","","0.58%"
"04/22/2015","722.19","722.19","722.19","722.19","","0.18%"
"04/21/2015","720.86","720.86","720.86","720.86","","-0.24%"
"04/20/2015","722.60","722.60","722.60","722.60","","1.12%"
"04/17/2015","714.57","714.57","714.57","714.57","","-1.59%"
"04/16/2015","726.09","726.09","726.09","726.09","","-0.25%"
"04/15/2015","727.93","727.93","727.93","727.93","","0.68%"
"04/14/2015","723.02","723.02","723.02","723.02","","0.00%"
"04/13/2015","723.05","723.05","723.05","723.05","","0.04%"
"04/10/2015","722.79","722.79","722.79","722.79","","0.40%"
"04/09/2015","719.89","719.89","719.89","719.89","","-0.41%"
"04/08/2015","722.83","722.83","722.83","722.83","","0.62%"
"04/07/2015","718.37","718.37","718.37","718.37","","-0.67%"
"04/06/2015","723.23","723.23","723.23","723.23","","0.27%"
"04/02/2015","721.27","721.27","721.27","721.27","","0.34%"
