date;Value;% Change;Open;High;Low;Turnover;
15.03.2013;577,98;0,58;574,73;578,31;574,73;12.411.233;
14.03.2013;574,64;-0,48;576,73;578,13;574,64;14.395.012;
13.03.2013;577,42;0,21;576,22;578,01;574,04;26.837.494;
12.03.2013;576,22;0,67;571,45;576,94;571,45;49.174.302;
11.03.2013;572,36;0,06;570,66;574,25;570,22;229.474.754;
08.03.2013;571,99;0,05;570,48;572,87;570,48;26.671.325;
07.03.2013;571,68;-0,55;574,23;574,93;571,38;33.100.972;
06.03.2013;574,85;0,20;572,60;576,64;572,30;83.400.894;
05.03.2013;573,69;0,35;570,93;574,45;570,93;17.120.666;
04.03.2013;571,71;0,11;570,52;572,86;569,09;114.196.644;
01.03.2013;571,07;0,15;570,18;573,20;569,82;71.035.128;
28.02.2013;570,22;1,05;564,03;571,78;564,03;81.124.296;
27.02.2013;564,29;-0,97;569,81;569,81;560,24;55.063.629;
26.02.2013;569,81;1,14;571,85;573,57;567,29;163.899.977;
25.02.2013;563,39;1,01;557,45;564,30;557,03;296.494.044;
22.02.2013;557,73;0,09;556,35;557,73;556,03;39.310.728;
21.02.2013;557,22;0,52;554,28;557,92;554,28;19.336.985;
20.02.2013;554,35;-0,22;555,54;557,16;553,01;64.263.709;
19.02.2013;555,58;0,35;553,20;556,15;551,56;34.729.969;
18.02.2013;553,62;0,02;553,34;555,49;552,93;58.265.532;
14.02.2013;553,49;-0,05;551,87;556,01;551,18;223.601.777;
13.02.2013;553,75;-0,74;551,68;556,62;550,23;10.429.215;
12.02.2013;557,87;0,88;558,44;560,29;551,93;41.597.765;
11.02.2013;553,01;0,89;547,84;554,85;546,77;67.555.294;
08.02.2013;548,12;-0,40;550,31;550,74;548,12;5.626.357;
07.02.2013;550,31;0,27;547,48;554,76;547,13;11.792.735;
06.02.2013;548,85;-0,49;550,11;551,17;543,49;18.348.491;
05.02.2013;551,55;-0,50;552,97;553,54;549,60;14.181.001;
04.02.2013;554,30;-1,41;560,99;561,86;550,30;21.734.660;
